id,name,middle_category_id,order_number,brand_upper_category_id,size_type_id,
299,一般水着,30,1,2,1,
300,スポーツ用,30,2,2,1,
301,アクセサリー,30,3,2,,
302,その他,30,4,2,,
303,ソックス,31,1,2,,
304,レギンス/スパッツ,31,2,2,,
305,レッグウォーマー,31,3,2,,
306,その他,31,4,2,,
307,トランクス,32,1,2,1,
308,ボクサーパンツ,32,2,2,1,
309,その他,32,3,2,,
310,トップス,34,1,3,7,
311,アウター,34,2,3,7,
312,パンツ,34,3,3,7,
313,スカート,34,4,3,7,
314,ワンピース,34,5,3,7,
315,ベビードレス,34,6,3,7,
316,おくるみ,34,7,3,7,
317,下着/肌着,34,8,3,7,
318,パジャマ,34,9,3,7,
319,ロンパース,34,10,3,7,
320,その他,34,11,3,7,
321,トップス,35,1,3,7,
322,アウター,35,2,3,7,
323,パンツ,35,3,3,7,
324,おくるみ,35,4,3,7,
325,下着/肌着,35,5,3,7,
326,パジャマ,35,6,3,7,
327,ロンパース,35,7,3,7,
328,その他,35,8,3,7,
329,トップス,36,1,3,7,
330,アウター,36,2,3,7,
331,パンツ,36,3,3,7,
332,おくるみ,36,4,3,7,
333,下着/肌着,36,5,3,7,
334,パジャマ,36,6,3,7,
335,ロンパース,36,7,3,7,
336,その他,36,8,3,7,
337,コート,37,1,3,5,
338,ジャケット/上着,37,2,3,5,
339,トップス（Tシャツ/カットソー）,37,3,3,5,
340,トップス（トレーナー）,37,4,3,5,
341,トップス（チュニック）,37,5,3,5,
342,トップス（タンクトップ）,37,6,3,5,
343,トップス（その他）,37,7,3,5,
344,スカート,37,8,3,5,
345,パンツ,37,9,3,5,
346,ワンピース,37,10,3,5,
347,セットアップ,37,11,3,5,
348,パジャマ,37,12,3,5,
349,フォーマル/ドレス,37,13,3,5,
350,和服,37,14,3,5,
351,浴衣,37,15,3,5,
352,甚平,37,16,3,5,
353,水着,37,17,3,5,
354,その他,37,18,3,5,
355,コート,38,1,3,5,
356,ジャケット/上着,38,2,3,5,
357,トップス（Tシャツ/カットソー）,38,3,3,5,
358,トップス（トレーナー）,38,4,3,5,
359,トップス（その他）,38,5,3,5,
360,パンツ,38,6,3,5,
361,セットアップ,38,7,3,5,
362,パジャマ,38,8,3,5,
363,フォーマル/ドレス,38,9,3,5,
364,和服,38,10,3,5,
365,浴衣,38,11,3,5,
366,甚平,38,12,3,5,
367,水着,38,13,3,5,
368,その他,38,14,3,5,
369,コート,39,1,3,5,
370,ジャケット/上着,39,2,3,5,
371,トップス（Tシャツ/カットソー）,39,3,3,5,
372,トップス（トレーナー）,39,4,3,5,
373,トップス（その他）,39,5,3,5,
374,ボトムス,39,6,3,5,
375,パジャマ,39,7,3,5,
376,その他,39,8,3,5,
377,スニーカー,40,1,3,6,
378,サンダル,40,2,3,6,
379,ブーツ,40,3,3,6,
380,長靴,40,4,3,6,
381,その他,40,5,3,6,
382,靴下/スパッツ,41,1,3,,
383,帽子,41,2,3,,
384,エプロン,41,3,3,,
385,サスペンダー,41,4,3,,
386,タイツ,41,5,3,,
387,ハンカチ,41,6,3,,
388,バンダナ,41,7,3,,
389,ベルト,41,8,3,,
390,マフラー,41,9,3,,
391,傘,41,10,3,,
392,手袋,41,11,3,,
393,スタイ,41,12,3,,
394,バッグ,41,13,3,,
395,その他,41,14,3,,
396,おむつ用品,42,1,3,,
397,おまる/補助便座,42,2,3,,
398,トレーニングパンツ,42,3,3,,
399,ベビーバス,42,4,3,,
400,お風呂用品,42,5,3,,
401,その他,42,6,3,,
402,ベビーカー,43,1,3,,
403,抱っこひも/スリング,43,2,3,,
404,チャイルドシート,43,3,3,,
405,その他,43,4,3,,
406,ミルク,44,1,3,,
407,ベビーフード,44,2,3,,
408,ベビー用食器,44,3,3,,
409,その他,44,4,3,,
410,ベッド,45,1,3,,
411,布団/毛布,45,2,3,,
412,イス,45,3,3,,
413,たんす,45,4,3,,
414,その他,45,5,3,,
415,おふろのおもちゃ,46,1,3,,
416,がらがら,46,2,3,,
417,オルゴール,46,3,3,,
418,ベビージム,46,4,3,,
419,手押し車/カタカタ,46,5,3,,
420,知育玩具,46,6,3,,
421,その他,46,7,3,,
422,お宮参り用品,47,1,3,,
423,お食い初め用品,47,2,3,,
424,アルバム,47,3,3,,
425,手形/足形,47,4,3,,
426,その他,47,5,3,,
427,母子手帳用品,48,1,3,,
428,その他,48,2,3,,
429,食器,49,1,5,,
430,調理器具,49,2,5,,
431,収納/キッチン雑貨,49,3,5,,
432,弁当用品,49,4,5,,
433,カトラリー（スプーン等）,49,5,5,,
434,テーブル用品,49,6,5,,
435,容器,49,7,5,,
436,エプロン,49,8,5,,
437,アルコールグッズ,49,9,5,,
438,浄水機,49,10,5,,
439,その他,49,11,5,,
440,セミシングルベッド,50,1,4,,
441,シングルベッド,50,2,4,,
442,セミダブルベッド,50,3,4,,
443,ダブルベッド,50,4,4,,
444,ワイルドダブルベッド,50,5,4,,
445,クイーンベッド,50,6,4,,
446,キングベッド,50,7,4,,
447,脚付きマットレスベッド,50,8,4,,
448,マットレス,50,9,4,,
449,すのこベッド,50,10,4,,
450,ロフトベッド/システムベッド,50,11,4,,
451,簡易ベッド/折りたたみベッド,50,12,4,,
452,収納付き,50,13,4,,
453,その他,50,14,4,,
454,ソファセット,51,1,4,,
455,シングルソファ,51,2,4,,
